,PARTNER NAME,COUNTRY,WEEK,DEPARTMENT,ITEM CODE(16 DIGITS),CLASSNAME,SEASON,STYLE NAME,COLOUR NAME,DESCRIPTION,ORIGINAL RRP,SALES VALUE LAST WEEK LOCAL,SALES UNITS LAST WEEK,STORE STOCK UNITS
0,SMARTMARTLTD,NIGERIA,30.0,DUNE SHOE CARE,2004500000000000,SC CO / COMFORT,AW23,HALF FOAM INSOL,BLANK,1/2 FOAM INSOLES,150000.0,0.0,0.0,10.0
1,SMARTMARTLTD,NIGERIA,30.0,DUNE SHOE CARE,2004500000000000,SC CO / COMFORT,AW23,HALF FOAM INSOL,BLANK,1/2 FOAM INSOLES,135000.0,0.0,0.0,9.0
2,SMARTMARTLTD,NIGERIA,30.0,DUNE SHOE CARE,2004500000000000,SC CO / COMFORT,AW23,HALF FOAM INSOL,BLANK,1/2 FOAM INSOLES,105000.0,0.0,0.0,7.0
3,SMARTMARTLTD,NIGERIA,30.0,DUNE LADIES,0087503940036289,DL DS-HIGHFASHION,AW22,MISTIES,289GREEN-REPTILE,2 PART BARELY THERE,0.0,0.0,0.0,0.0
4,SMARTMARTLTD,NIGERIA,30.0,DUNE LADIES,0087503940036289,DL DS-HIGHFASHION,AW22,MISTIES,289GREEN-REPTILE,2 PART BARELY THERE,120000.0,0.0,0.0,1.0
5,SMARTMARTLTD,NIGERIA,30.0,DUNE LADIES,0087503940036289,DL DS-HIGHFASHION,AW22,MISTIES,289GREEN-REPTILE,2 PART BARELY THERE,120000.0,0.0,0.0,1.0
6,SMARTMARTLTD,NIGERIA,30.0,DUNE LADIES,0087503940036289,DL DS-HIGHFASHION,AW22,MISTIES,289GREEN-REPTILE,2 PART BARELY THERE,0.0,0.0,0.0,0.0
7,SMARTMARTLTD,NIGERIA,30.0,DUNE LADIES,0081500620044670,DL CS-WEDGE,SS20,KEZSHA,670BLUSH,2 PART CORK WEDGE,0.0,0.0,0.0,0.0
8,SMARTMARTLTD,NIGERIA,30.0,DUNE LADIES,0081500620044670,DL CS-WEDGE,SS20,KEZSHA,670BLUSH,2 PART CORK WEDGE,0.0,0.0,0.0,0.0
9,SMARTMARTLTD,NIGERIA,30.0,DUNE LADIES,0081500620044167,DL CS-WEDGE,AW20,KEZSHA,167NAVY,2 PART CORK WEDGE,0.0,0.0,0.0,0.0
10,SMARTMARTLTD,NIGERIA,30.0,DUNE LADIES,0081500620044167,DL CS-WEDGE,AW20,KEZSHA,167NAVY,2 PART CORK WEDGE,0.0,0.0,0.0,0.0
11,SMARTMARTLTD,NIGERIA,30.0,DUNE LADIES,0081500620044167,DL CS-WEDGE,AW20,KEZSHA,167NAVY,2 PART CORK WEDGE,0.0,0.0,0.0,0.0
12,SMARTMARTLTD,NIGERIA,30.0,DUNE LADIES,0081500620044670,DL CS-WEDGE,SS20,KEZSHA,670BLUSH,2 PART CORK WEDGE,0.0,0.0,0.0,0.0
13,SMARTMARTLTD,NIGERIA,30.0,DUNE LADIES,0081500620044670,DL CS-WEDGE,SS20,KEZSHA,670BLUSH,2 PART CORK WEDGE,0.0,0.0,0.0,0.0
